Student Id,Off Class,Days Enrolled,Full Day Present,Full Day Absent,Half Day,Total Late,Percent Attd
219690286,10A,110,108,2,0,0,98.1
216027417,11A,110,110,0,0,0,100
221535925,11A,111,96,14,1,0,87.3
218509974,11A,110,109,1,0,3,99
208619569,12A,110,109,1,0,3,99
226083913,190,115,114,1,0,2,99.1
226312635,11A,110,110,0,0,1,100
222555450,10A,110,106,4,0,0,96.3
249703869,190,61,61,0,0,0,100
226046068,190,115,112,3,0,0,97.3
227438439,190,115,113,2,0,0,98.2
220769012,190,115,114,1,0,2,99.1
218733970,12A,110,108,2,0,0,98.1
219484912,11A,110,109,1,0,0,99
218733954,12A,110,107,3,0,0,97.2
217022615,11A,110,105,5,0,0,95.4
209076660,12A,110,110,0,0,0,100
244846424,12A,110,107,3,0,0,97.2
217126572,10D,110,81,29,0,2,73.6
244846432,12A,110,106,4,0,9,96.3
244416301,11A,110,110,0,0,0,100
220973192,10A,110,109,1,0,0,99
